signer,volume,rank,volume_category
2UD9BdhpEKBUsaC7yUB1SG1EFaADEwowYLhE612DR3dd,463.08609576525595,3720200,Other
3Y7od9Uo3ApuEYH3nQZDUy3xNXvw69ZszXttQB6vmwRG,463.085692464104,3720201,Other
8EWVdpiJ9RYuQdnTjssf8zsy9vwDiMasuSkMGHunzA5A,463.08555677025805,3720202,Other
8Y99JCiRULR27LJqCdLSMgCRqKJxRr8VLvtnMpzfTp5W,463.08549670536,3720203,Other
F7PCaysyATaAq69vdUhH9xJEgGCqu3sCEztWT2Pdum3,463.08545659814,3720204,Other
7Mh6GgrUN3XYZL6CxPyvEa7zC7DsbzX8cuev1Vvkx1HU,463.08468317515,3720205,Other
HaFBd7H7Z1FNu7Jej3DN3paMSHbh8wHZQRvWjMHFzARS,463.08449548617995,3720206,Other
7b9ie3foLd7ngLvQR1NyqzUXZJkqRtazGtyDN4D34Sc9,463.08400389378,3720207,Other
AkAi9tKrpWrUwkroZ713aZGXp9n89o8XLannQeWX9NFE,463.0837595740506,3720208,Other
557MULAVbafC29FshBatNmqUm65wL6ekQcXujYUUHBHG,463.08371536999005,3720209,Other
65j7yc8ZoNk7LGMteEnwuCP5E5EdrcuwqJ9C3Ycyro7n,463.082706598012,3720210,Other
Ga3c9xJALZS85KTWDGUh7pRUaho7xpDW295SV335YSV4,463.08208672185003,3720211,Other
8S3EwR4sSPdNKJc7fc9SXzeJi56bQtXE9nEswJKrJptj,463.08190317784397,3720212,Other
76EeGtxNb9tsQg1ExrnWFKRz6zo4LjuiAiFpRjNiVErp,463.081825408676,3720213,Other
FmrxxHP5QFgberCz4c6hxPDazMnbRgF36zUY23iDEV7b,463.08173343921203,3720214,Other
FjDRud9gB53tEzhbhSyAEMnbUdQ6NbDPqPVHPBjntRjo,463.08000000000004,3720215,Other
Bm6c86DBdcwcAeDJNqtyBYMv6NP1rkpPpfiFkXxJMkjW,463.07921406936,3720216,Other
Gp4MUsVrQn6jrbh8CYUtjf1vXTikgdmsZTx5krbY7gzJ,463.07900000000006,3720217,Other
7Uvkrkypz37q3NRs8gCjqnjZ8sWHeYchXcKnfwBhasKc,463.07816139175657,3720218,Other
BqrJwAmAKcSDbubH75GH4VUTXvSiYRuTSMdQ5TiJjrHm,463.07754853157,3720219,Other
HUM8n5CDPfyCyz7QU7jrf7cRDcfXMaxP8Pfg6jQ6BgDd,463.07658205606805,3720220,Other
EVTaLQtPY53s3XahTReGZi9d6rpJtAnrp6bGXJEweZqz,463.07655,3720221,Other
465ezfHyk7szkFucDHDSm3v5BsUyJEfAc5KCquBCUVcW,463.07603400543,3720222,Other
4UPha1svwjYBoWjnGvkANSfGAZxubtUjNtCTFcCcfyPR,463.07537523,3720223,Other
HHSiRFRJpyxrjVN3jpqLrczh4kfHVGWC87CDSpHwHiir,463.075126005504,3720224,Other
671uvoEscimBnfpXydoJjtRofkFqe6Htib2ChnPEz1u8,463.07504389150995,3720225,Other
ArHy2gvNZWHgasE1g965FDyA9TyuXtLksnLQX7Z2JYwq,463.075,3720226,Other
5zxLncns5RppcoZMYKMi8w39e7yHgLebweCyQD2Qqbrr,463.07419617485004,3720227,Other
2h1EJD2cDAK8LmRe1H536XrVh5aaaMQK4X7ic4T1E5Cj,463.07398152744804,3720228,Other
GNikX7tyRzcZWVb6wZ2SoETi9ospkYaoxY2979WtzXCU,463.0738678545,3720229,Other
54cw8xtUBD6yEyaERrboHXwNa3FcYEzdCvkfa1dZt4Su,463.07377901039996,3720230,Other
7KyhWQkg6FdyNiedPHcdzEGLtt3cj1hAHDpZz7a9e18J,463.07375478801293,3720231,Other
FvfFYQemDRgCi1Luiwsow2knFkuYHZT9nbHm8FsGabrk,463.0735606361559,3720232,Other
FspSyGydFaKhE2G3AsNBgRRuoytm39bxAx74txrWnh89,463.07214678448145,3720233,Other
CcSgsEW7nTngzqhvCW2jwWuHsgiz746zD9D14m92wnzD,463.07200000000006,3720234,Other
2HqAeAiuJmdmVjioXCJtrxgkPMFT8ELHa467Wrn1Diy5,463.07192073374,3720235,Other
HtFcii6Goa4HE7FZkstLHehBx8438TGppVF8Zzt1aG7U,463.071919396128,3720236,Other
CA6J1xdyps1q1149ZUn3icZcH4K3DJbu2Lph3qA1Nt8j,463.07142572925,3720237,Other
BNvzobXVsgYMYzKrC23pWt5Gb4YNCUuSUqmhQcLx8DvV,463.0711602162682,3720238,Other
