signer,volume,volume_category
5HmDrj3KTFELjZeurvyHpc6mBzHHZUD7GhMfUDuZ5Li5,37306750284,>$10M
47hKDjmxa6MTZ9DqUHP6hqjVRZhB1Y3rw5ZKGQy6pGAA,37268472801,>$10M
SRueWiRGjGMgJpmCHvWXWuv8BV5wsSRLXyJd2yFjGMt,37014545149,>$10M
BngibFZcLf687Joq2MxyBgr2WpcQzSXuWA6ac9TDhThd,36915628926,>$10M
Awk3kcb9UxTmdX8w6Si2BcksSm9Cg77B3uL5NQ8yVJgK,36755206380,>$10M
4GMkSqKo2rftsymfmYwZdFvdih8ppkQ3vS8fxvfwNtMR,36687260998,>$10M
ATBhsBKZDmZyDdFDgv3mBCAWsvk7GiaB5R58N9r1Pa1p,36635864749,>$10M
8fcrJSJ9yGjBNHyDHvGQLEHmqFSXweGiLkZ16eZocpHi,36440000182,>$10M
CZQ1o1VjGiDVrD3QA2BHsu45R71XaBwGAiq7W2mK6oSE,36251363811,>$10M
H4WqancKYG95MSsnANVdZCsRmJQqt3e6AeLXro657CJh,35973603621,>$10M
8SZiBoDSGftypM5gbn4PAi1fY3R4GYhiMbmSfxwV1x7C,35860695066,>$10M
2xNH3TJZpPUZ187c84odK4JPFx1yFDtcmd9C55qRMgjc,35840260504,>$10M
